NID,ID,PROYECTO,SONDAJE,ESTE,SUR,HUSO,ZONA,TIPO,ZI,ZF,N1,N2,N3,NR,TIPO DE SUELO,DUREZA ESTIMADA,N FREATICO,DESCRIPCION,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,9.00,9.45,,,,,Granular,Suelta,,Arena arcillosa color pardo. Compacidad suelta.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,10.00,10.45,,,,,Granular,Media,,Arena arcillosa color pardo. Compacidad media.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,11.00,11.45,,,,,Granular,Media,,Arena arcillosa color pardo. Compacidad media.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,12.00,12.45,,,,,Granular,Compacta,,Arena limosa color pardo. Compacta.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,13.00,13.45,,,,,Granular,Media,,Arena limosa color pardo. Compacidad media.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,14.00,14.45,,,,,Granular,Media,,Arena limosa color pardo. Compacidad media.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,15.00,15.45,,,,,Granular,Media,,Arena limosa color pardo. Compacidad media.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,16.00,16.45,,,,,Granular,Media,,Arena limosa color pardo. Compacidad media.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,17.00,17.45,,,,,Granular,Muy compacta,,Arena limosa color pardo. Compacidad media.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,18.00,18.45,,,,,Granular,Media,,Arena limosa color pardo con gravas dispersas. Compacidad media.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,19.00,19.45,,,,,Granular,Compacta,,Arena limosa color pardo. Compacta.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,20.00,20.45,,,,,Granular,Compacta,,Arena limosa color pardo. Compacta.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,21.00,21.45,,,,,Granular,Media,,Arena limosa color pardo con gravas dispersas. Compacidad media.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,22.00,22.45,,,,,Granular,Muy compacta,,Arena limosa color pardo con gravas dispersas. Muy compacta.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,23.00,23.45,,,,,Granular,Media,,Arena limosa color pardo con gravas dispersas. Compacidad media.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,24.00,24.45,,,,,Granular,Media,,Arena limosa color pardo. Compacidad media.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,25.00,25.45,,,,,Granular,Media,,Arena limosa color pardo. Compacidad media.,,,,
